Statistical profiling result from isolate-000001430FB82000-5616-v8.log, (8524 ticks, 34 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5   12.5%            JS: ^get C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:40:14
      1    2.5%            JS: ^getObject C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\LevelDb.js:72:20
      1    2.5%            JS: *getMicroblockVbInformation C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:12:37
      1    2.5%            JS: *getFromStorage C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:26:25
     37   19.2%          JS: *get C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:40:14
     22   59.5%            JS: ^getMicroblockVbInformation C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:12:37
     14   37.8%            JS: ^getAccountByPublicKeyHash C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:27:36
      1    2.7%            JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:36450:58
     33   17.1%          JS: *getRaw C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:43:17
     19   57.6%            JS: *write C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:74:16
      8   24.2%            JS: ^get C:\www\carmentis-node\abci\dist\src\carmentis\abci\NodeProvider.js:40:14
      5   15.2%            JS: ^getObject C:\www\carmentis-node\abci\dist\src\carmentis\abci\database\CachedLevelDb.js:50:20
      1    3.0%            JS: ^getFromStorage C:\www\carmentis-node\abci\dist\src\carmentis\abci\RadixTree.js:26:25
