Statistical profiling result from isolate-000001D42F661000-67156-v8.log, (37350 ticks, 52 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  JS: *Readable.on node:internal/streams/readable:1127:33
      1    0.0%    0.1%  JS: *Microblock C:\www\carmentis-core\dist\server\index.cjs:7530:16
      1    0.0%    0.1%  JS: *DescriptorProto$decode :3:39
      1    0.0%    0.1%  JS: *CheckTx C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:383:18
      1    0.0%    0.1%  JS: *<anonymous> node:internal/per_context/primordials:334:21
      1    0.0%    0.1%  JS: *<anonymous> node:internal/http2/core:2089:17
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-node\abci\node_modules\@nestjs\microservices\server\server-grpc.js:165:111
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:7840:58
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:6431:27
      1    0.0%    0.1%  JS: *<anonymous> C:\www\carmentis-core\dist\server\index.cjs:11415:58
      1    0.0%    0.1%  Builtin: TypedArrayPrototypeReduce
      1    0.0%    0.1%  Builtin: ToNumber_Baseline
      1    0.0%    0.1%  Builtin: StringSubstring
      1    0.0%    0.1%  Builtin: StringSlowFlatten
      1    0.0%    0.1%  Builtin: StrictEqual
      1    0.0%    0.1%  Builtin: StoreInArrayLiteralIC
      1    0.0%    0.1%  Builtin: StoreICBaseline
      1    0.0%    0.1%  Builtin: SetDataProperties
      1    0.0%    0.1%  Builtin: PromiseConstructor
      1    0.0%    0.1%  Builtin: ObjectPrototypeHasOwnProperty
      1    0.0%    0.1%  Builtin: MathFloor
      1    0.0%    0.1%  Builtin: MapPrototypeGet
      1    0.0%    0.1%  Builtin: MapPrototypeDelete
      1    0.0%    0.1%  Builtin: MapConstructor
      1    0.0%    0.1%  Builtin: LoadIC_FunctionPrototype
      1    0.0%    0.1%  Builtin: KeyedLoadICTrampoline_Megamorphic
      1    0.0%    0.1%  Builtin: KeyedHasIC_PolymorphicName
      1    0.0%    0.1%  Builtin: KeyedHasIC
      1    0.0%    0.1%  Builtin: JSEntryTrampoline
      1    0.0%    0.1%  Builtin: JSEntry
      1    0.0%    0.1%  Builtin: IterableToListConvertHoles
      1    0.0%    0.1%  Builtin: Increment_Baseline
      1    0.0%    0.1%  Builtin: HandleApiCallOrConstruct
      1    0.0%    0.1%  Builtin: ForInPrepare
      1    0.0%    0.1%  Builtin: ForInNext
      1    0.0%    0.1%  Builtin: FindNonDefaultConstructorOrConstruct
      1    0.0%    0.1%  Builtin: Equal_Baseline
      1    0.0%    0.1%  Builtin: Decrement_Baseline
      1    0.0%    0.1%  Builtin: DateConstructor
      1    0.0%    0.1%  Builtin: CreateDataProperty
      1    0.0%    0.1%  Builtin: Construct {1}
      1    0.0%    0.1%  Builtin: CloneObjectIC
      1    0.0%    0.1%  Builtin: CloneFastJSArrayFillingHoles
      1    0.0%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      1    0.0%    0.1%  Builtin: CallWithArrayLike
      1    0.0%    0.1%  Builtin: CallIteratorWithFeedback
      1    0.0%    0.1%  Builtin: CallFunctionTemplate_CheckCompatibleReceiver
      1    0.0%    0.1%  Builtin: CallBoundFunction
      1    0.0%    0.1%  Builtin: CallApiCallbackOptimized
      1    0.0%    0.1%  Builtin: AsyncGeneratorPrototypeNext
      1    0.0%    0.1%  Builtin: AsyncFunctionResolve
      1    0.0%    0.1%  Builtin: ArrayPrototypeShift
      1    0.0%    0.1%  Builtin: ArrayBufferConstructor

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   1331    3.6%   96.2%  JavaScript
      0    0.0%    0.0%  C++
    208    0.6%   15.0%  GC
  35967   96.3%          Shared libraries
     52    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  33790   90.5%  C:\WINDOWS\SYSTEM32\ntdll.dll
   4201   12.4%    C:\Program Files\nodejs\node.exe
   2546   60.6%      JS: *read node:internal/fs/promises:648:20
   2434   95.6%        JS: *processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:179:27
   2434  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
     75    2.9%        JS: *read node:internal/fs/promises:198:7
     66   88.0%          JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:148:25
     66  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      9   12.0%          JS: ^readMicroblockPart C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:166:29
      9  100.0%            JS: ^readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:148:25
     34    1.3%        JS: *read C:\www\carmentis-node\abci\dist\src\carmentis\abci\ChallengeFile.js:31:15
     34  100.0%          JS: ^processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:179:27
     34  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
    471   11.2%      JS: *write node:internal/fs/promises:721:21
    277   58.8%        JS: *fsCall node:internal/fs/promises:454:22
    277  100.0%          JS: *createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:178:23
    277  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
    100   21.2%        JS: *write node:internal/fs/promises:229:8
     93   93.0%          JS: ^createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:178:23
     93  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      6    6.0%          JS: ^create C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotChunksFile.js:18:17
      6  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
      1    1.0%          JS: ^flush C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:101:16
      1  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
     94   20.0%        JS: *createDbFile C:\www\carmentis-node\abci\dist\src\carmentis\abci\SnapshotsManager.js:178:23
     94  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    315    7.5%      JS: *getFilePath C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:241:16
    262   83.2%        JS: *readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:148:25
    262  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
     37   11.7%        JS: ^writeMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:71:26
     37  100.0%          JS: ^processBlock C:\www\carmentis-node\abci\dist\src\carmentis\abci\AbciService.js:517:23
     37  100.0%            Builtin: AsyncFunctionAwaitResolveClosure
     12    3.8%        JS: ^readMicroblock C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:148:25
     12  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
      4    1.3%        JS: *processChallenge C:\www\carmentis-node\abci\dist\src\carmentis\abci\Storage.js:179:27
      4  100.0%          Builtin: AsyncFunctionAwaitResolveClosure
    225    5.4%      JS: *handleWriteReq node:internal/stream_base_commons:46:24
    225  100.0%        JS: *_write node:internal/streams/writable:453:16
    225  100.0%          JS: *printMessages C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:138:18
    144   64.0%            JS: *log C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:50:8
     66   29.3%            JS: *debug C:\www\carmentis-node\abci\node_modules\@nestjs\common\services\console-logger.service.js:78:10
